Experimental_index,DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,T=0.25,T=0.5,T=1.0,Release
6,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.08,46.15,1.0,446.91,68.74,9.0,4.28,32.63,0.01,0.01,0.02,0.26
166,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,15.0,0.0,0.01,0.01,0.01
113,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.51,0.29,115.38,0.0,392.47,94.83,6.0,1.9,17.6,0.03,0.06,0.11,0.8
114,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,1.72,0.62,98.36,0.0,392.47,94.83,6.0,1.9,21.07,0.25,0.31,0.5,0.85
39,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.25,0.17,7117.44,0.0,285.31,78.29,5.0,2.66,0.56,0.03,0.07,0.14,0.06
131,LDC-PLGA,1.0,46000.0,0.0,68.5,13.78,0.05,0.04,428.57,0.0,234.34,32.34,3.0,2.58,3.09,0.1,0.13,0.19,0.38
66,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.06,750.0,0.0,234.34,32.34,3.0,2.58,19.6,0.02,0.02,0.03,0.71
169,TAA-PLGA-co-PAVL,3.0,10200.0,0.04,293.0,11.75,0.83,0.35,2.89,0.5,434.5,93.06,7.0,2.42,20.0,0.01,0.01,0.02,0.25
4,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.06,187.5,1.0,446.91,68.74,9.0,4.28,69.12,0.11,0.22,0.39,1.07
167,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,17.0,0.0,0.01,0.01,0.03
96,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.01,3076.92,0.1,853.92,221.29,15.0,3.74,1.71,0.01,0.02,0.04,0.07
14,LDC-PLGA,2.33,10000.0,0.0,68.5,13.78,1.0,0.05,1200.0,0.2,234.34,32.34,3.0,2.58,7.28,0.08,0.19,0.41,0.76
37,CBD-PLGA,1.0,51000.0,0.0,66.5,9.13,0.1,0.05,248.76,0.5,314.47,40.46,2.0,5.85,1.37,0.04,0.07,0.11,0.15
122,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,202.7,0.0,331.35,99.6,8.0,1.58,23.71,0.02,0.05,0.09,0.67
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,19.23,0.27,0.34,0.45,1.0
56,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.2,0.03,1333.33,0.0,234.34,32.34,3.0,2.58,1.11,0.27,0.44,0.7,0.77
84,5-FU-PLGA,1.0,104000.0,0.0,282.5,8.02,0.8,0.18,210.53,0.0,130.08,65.72,5.0,-0.8,10.05,0.07,0.13,0.22,0.66
86,TTD-PLGA,1.0,28000.0,0.0,206.0,10.28,0.1,0.06,96.4,0.01,325.5,23.47,2.0,5.34,5.75,0.01,0.02,0.04,0.26
124,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,78.95,0.0,331.35,99.6,8.0,1.58,28.16,0.01,0.03,0.07,0.68
70,LDC-PLGA,1.0,48000.0,0.0,68.5,13.78,0.05,0.02,1363.64,0.0,234.34,32.34,3.0,2.58,19.83,0.05,0.08,0.15,0.52
47,PTX-PLGA,1.0,57500.0,0.0,216.5,10.36,0.02,0.01,11639.19,0.0,853.92,221.29,15.0,3.74,29.88,0.05,0.11,0.2,0.61
120,PRC-PLGA,1.0,40000.0,0.0,199.0,4.76,0.2,0.05,73.89,0.0,331.35,99.6,8.0,1.58,22.61,0.04,0.06,0.09,0.39
122,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,202.7,0.0,331.35,99.6,8.0,1.58,33.75,0.02,0.05,0.09,0.97
49,PTX-PLGA,3.0,105000.0,0.0,216.5,10.36,0.01,0.0,9165.9,0.0,853.92,221.29,15.0,3.74,0.91,0.03,0.06,0.12,0.15
87,TTD-PLGA,1.0,28000.0,0.0,206.0,10.28,0.1,0.06,94.34,0.01,325.5,23.47,2.0,5.34,13.98,0.01,0.02,0.03,0.68
6,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.08,46.15,1.0,446.91,68.74,9.0,4.28,10.42,0.01,0.01,0.02,0.09
113,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.51,0.29,115.38,0.0,392.47,94.83,6.0,1.9,10.72,0.03,0.06,0.11,0.45
124,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,78.95,0.0,331.35,99.6,8.0,1.58,0.0,0.01,0.03,0.07,0.0
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,9.12,0.27,0.34,0.45,0.78
125,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,179.1,0.0,331.35,99.6,8.0,1.58,0.39,0.03,0.07,0.14,0.07
167,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,12.0,0.0,0.01,0.01,0.03
167,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,23.0,0.0,0.01,0.01,0.04
115,LPA-PLGA,1.0,12000.0,0.0,152.5,9.49,0.25,0.2,217.39,0.01,1269.47,466.34,30.0,-1.14,6.96,0.11,0.12,0.15,0.36
36,CBD-PLGA,1.0,12000.0,0.0,66.5,9.13,0.1,0.08,248.24,0.5,314.47,40.46,2.0,5.85,41.81,0.04,0.08,0.15,0.93
96,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.01,3076.92,0.1,853.92,221.29,15.0,3.74,13.19,0.01,0.02,0.04,0.24
124,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,78.95,0.0,331.35,99.6,8.0,1.58,9.76,0.01,0.03,0.07,0.23
132,LDC-PLGA,1.0,46000.0,0.0,68.5,13.78,0.05,0.04,125.0,0.0,234.34,32.34,3.0,2.58,18.62,0.04,0.07,0.13,0.88
5,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.08,85.71,1.0,446.91,68.74,9.0,4.28,63.11,0.02,0.02,0.03,0.8
115,LPA-PLGA,1.0,12000.0,0.0,152.5,9.49,0.25,0.2,217.39,0.01,1269.47,466.34,30.0,-1.14,49.02,0.11,0.12,0.15,0.99
120,PRC-PLGA,1.0,40000.0,0.0,199.0,4.76,0.2,0.05,73.89,0.0,331.35,99.6,8.0,1.58,29.87,0.04,0.06,0.09,0.84
39,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.25,0.17,7117.44,0.0,285.31,78.29,5.0,2.66,5.96,0.03,0.07,0.14,0.4
77,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.21,0.2,34.58,0.0,206.29,37.3,2.0,3.07,0.42,0.24,0.32,0.45,0.31
59,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.03,0.01,1333.33,0.0,234.34,32.34,3.0,2.58,0.63,0.24,0.33,0.49,0.57
52,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.2,0.01,1875.0,0.0,234.34,32.34,3.0,2.58,0.0,0.05,0.09,0.15,0.0
110,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.11,0.09,103.45,0.0,392.47,94.83,6.0,1.9,0.0,0.0,0.01,0.02,0.0
57,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.1,0.03,1818.18,0.0,234.34,32.34,3.0,2.58,20.22,0.01,0.05,0.14,0.89
89,TTD-PLGA,1.0,8300.0,0.0,206.0,10.28,0.1,0.06,112.25,0.01,325.5,23.47,2.0,5.34,5.96,0.06,0.09,0.15,0.51
161,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,83.0,0.0,0.0,0.01,0.84
122,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,202.7,0.0,331.35,99.6,8.0,1.58,35.85,0.02,0.05,0.09,0.98
166,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,13.0,0.0,0.01,0.01,0.01
166,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,22.0,0.0,0.01,0.01,0.01
161,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,73.0,0.0,0.0,0.01,0.82
134,LDC-PLGA,1.0,46000.0,0.0,68.5,13.78,0.05,0.04,56.6,0.0,234.34,32.34,3.0,2.58,9.92,0.04,0.06,0.11,0.64
124,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.06,78.95,0.0,331.35,99.6,8.0,1.58,32.78,0.01,0.03,0.07,0.96
41,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.17,0.12,4278.99,0.0,285.31,78.29,5.0,2.66,2.34,0.01,0.02,0.05,0.13
85,5-FU-PLGA,1.0,104000.0,0.0,282.5,8.02,0.8,0.26,127.39,0.0,130.08,65.72,5.0,-0.8,4.12,0.11,0.19,0.33,0.65
107,TMZ-PLGA,3.0,20000.0,0.0,212.0,10.46,0.1,0.08,95.85,0.0,194.15,108.17,8.0,-2.08,28.08,0.06,0.07,0.1,0.95
75,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.21,0.16,35.36,0.0,206.29,37.3,2.0,3.07,0.02,0.09,0.29,0.4,0.03
123,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,431.65,0.0,331.35,99.6,8.0,1.58,3.94,0.09,0.17,0.3,0.55
123,PRC-PLGA,1.0,40000.0,0.0,199.0,6.3,0.2,0.05,431.65,0.0,331.35,99.6,8.0,1.58,16.91,0.09,0.17,0.3,0.85
71,LDC-PLGA,1.0,48000.0,0.0,68.5,13.78,0.03,0.01,1395.35,0.0,234.34,32.34,3.0,2.58,43.25,0.04,0.08,0.15,0.85
115,LPA-PLGA,1.0,12000.0,0.0,152.5,9.49,0.25,0.2,217.39,0.01,1269.47,466.34,30.0,-1.14,21.16,0.11,0.12,0.15,0.64
40,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.2,0.14,5870.84,0.0,285.31,78.29,5.0,2.66,3.34,0.01,0.03,0.05,0.25
96,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.01,3076.92,0.1,853.92,221.29,15.0,3.74,14.68,0.01,0.02,0.04,0.25
49,PTX-PLGA,3.0,105000.0,0.0,216.5,10.36,0.01,0.0,9165.9,0.0,853.92,221.29,15.0,3.74,30.13,0.03,0.06,0.12,0.54
98,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.02,3488.37,0.1,853.92,221.29,15.0,3.74,11.89,0.01,0.01,0.02,0.15
71,LDC-PLGA,1.0,48000.0,0.0,68.5,13.78,0.03,0.01,1395.35,0.0,234.34,32.34,3.0,2.58,3.84,0.04,0.08,0.15,0.29
162,PTX-PLGA-co-PAVL,3.0,10200.0,0.04,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,50.0,0.02,0.02,0.03,0.74
68,LDC-PLGA,1.0,48000.0,0.0,68.5,13.78,0.2,0.01,1621.62,0.0,234.34,32.34,3.0,2.58,14.66,0.02,0.03,0.05,0.21
57,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.1,0.03,1818.18,0.0,234.34,32.34,3.0,2.58,36.17,0.01,0.05,0.14,0.95
56,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.2,0.03,1333.33,0.0,234.34,32.34,3.0,2.58,7.69,0.27,0.44,0.7,0.84
3,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.03,1200.0,1.0,446.91,68.74,9.0,4.28,1.09,0.25,0.45,0.72,0.81
111,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.18,0.12,113.21,0.0,392.47,94.83,6.0,1.9,0.52,0.0,0.01,0.01,0.01
83,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.24,152.67,0.0,130.08,65.72,5.0,-0.8,20.05,0.09,0.16,0.28,1.0
86,TTD-PLGA,1.0,28000.0,0.0,206.0,10.28,0.1,0.06,96.4,0.01,325.5,23.47,2.0,5.34,26.19,0.01,0.02,0.04,0.97
2,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.07,101.69,1.0,446.91,68.74,9.0,4.28,32.88,0.05,0.1,0.19,0.66
42,DPP-PLGA,1.0,46000.0,0.0,156.0,13.91,0.23,0.05,95.24,0.0,254.25,102.28,8.0,-2.21,1.0,0.05,0.13,0.28,0.28
37,CBD-PLGA,1.0,51000.0,0.0,66.5,9.13,0.1,0.05,248.76,0.5,314.47,40.46,2.0,5.85,10.5,0.04,0.07,0.11,0.37
40,LTZ-PLGA,1.86,57700.0,0.0,184.5,4.4,0.2,0.14,5870.84,0.0,285.31,78.29,5.0,2.66,0.0,0.01,0.03,0.05,0.0
166,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,20.0,0.0,0.01,0.01,0.01
96,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.01,3076.92,0.1,853.92,221.29,15.0,3.74,8.09,0.01,0.02,0.04,0.16
50,PTX-PLGA,1.0,57500.0,0.0,216.5,10.36,0.01,0.0,9428.03,0.0,853.92,221.29,15.0,3.74,21.85,0.09,0.12,0.18,0.6
78,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.21,0.19,66.15,0.0,206.29,37.3,2.0,3.07,0.48,0.09,0.12,0.14,0.12
83,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.24,152.67,0.0,130.08,65.72,5.0,-0.8,6.07,0.09,0.16,0.28,0.62
48,PTX-PLGA,3.0,105000.0,0.0,216.5,10.36,0.01,0.0,13498.31,0.0,853.92,221.29,15.0,3.74,9.05,0.06,0.13,0.24,0.49
70,LDC-PLGA,1.0,48000.0,0.0,68.5,13.78,0.05,0.02,1363.64,0.0,234.34,32.34,3.0,2.58,4.83,0.05,0.08,0.15,0.26
100,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.02,7058.82,0.1,853.92,221.29,15.0,3.74,6.84,0.04,0.07,0.12,0.2
169,TAA-PLGA-co-PAVL,3.0,10200.0,0.04,293.0,11.75,0.83,0.35,2.89,0.5,434.5,93.06,7.0,2.42,6.0,0.01,0.01,0.02,0.02
111,DEX-PLGA,1.0,46000.0,0.0,262.0,12.42,0.18,0.12,113.21,0.0,392.47,94.83,6.0,1.9,16.49,0.0,0.01,0.01,0.46
81,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.32,92.17,0.0,130.08,65.72,5.0,-0.8,17.33,0.27,0.34,0.45,0.97
101,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.02,6060.61,0.1,853.92,221.29,15.0,3.74,19.29,0.0,0.02,0.13,0.15
52,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.2,0.01,1875.0,0.0,234.34,32.34,3.0,2.58,4.18,0.05,0.09,0.15,0.37
167,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,9.0,0.0,0.01,0.01,0.03
98,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.02,3488.37,0.1,853.92,221.29,15.0,3.74,6.59,0.01,0.01,0.02,0.11
117,LPA-PLGA,1.0,25000.0,0.0,152.5,9.49,0.25,0.23,217.39,0.01,1269.47,466.34,30.0,-1.14,46.28,0.09,0.11,0.15,0.87
160,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,71.0,0.01,0.01,0.02,0.8
58,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.02,1250.0,0.0,234.34,32.34,3.0,2.58,0.4,0.21,0.35,0.47,0.3
11,DEX-PLGA,1.0,13000.0,0.0,262.0,12.42,0.1,0.08,300.0,0.0,392.47,94.83,6.0,1.9,26.01,0.12,0.15,0.22,0.84
133,LDC-PLGA,1.0,46000.0,0.0,68.5,13.78,0.05,0.04,81.08,0.0,234.34,32.34,3.0,2.58,2.93,0.05,0.07,0.11,0.25
3,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.03,1200.0,1.0,446.91,68.74,9.0,4.28,2.87,0.25,0.45,0.72,1.01
53,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.1,0.01,1276.6,0.0,234.34,32.34,3.0,2.58,2.38,0.02,0.05,0.11,0.23
59,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.03,0.01,1333.33,0.0,234.34,32.34,3.0,2.58,50.17,0.24,0.33,0.49,0.92
167,TAA-PLGA-co-PALA,3.0,11000.0,0.06,293.0,11.75,0.83,0.33,2.89,0.5,434.5,93.06,7.0,2.42,10.0,0.0,0.01,0.01,0.03
161,PTX-PLGA-co-PALA,3.0,11000.0,0.06,216.5,10.36,0.83,0.32,2.89,0.5,853.92,221.29,15.0,3.74,19.0,0.0,0.0,0.01,0.02
57,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.1,0.03,1818.18,0.0,234.34,32.34,3.0,2.58,4.14,0.01,0.05,0.14,0.52
43,DPP-PLGA,1.0,46000.0,0.0,156.0,13.91,0.15,0.06,53.1,0.0,254.25,102.28,8.0,-2.21,7.61,0.0,0.02,0.05,0.48
120,PRC-PLGA,1.0,40000.0,0.0,199.0,4.76,0.2,0.05,73.89,0.0,331.35,99.6,8.0,1.58,31.45,0.04,0.06,0.09,0.93
66,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.05,0.06,750.0,0.0,234.34,32.34,3.0,2.58,5.0,0.02,0.02,0.03,0.11
88,TTD-PLGA,1.0,28000.0,0.0,206.0,10.28,0.1,0.04,74.04,0.01,325.5,23.47,2.0,5.34,26.19,0.01,0.02,0.03,0.98
127,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.05,0.04,375.0,0.0,206.29,37.3,2.0,3.07,12.07,0.19,0.27,0.41,1.0
85,5-FU-PLGA,1.0,104000.0,0.0,282.5,8.02,0.8,0.26,127.39,0.0,130.08,65.72,5.0,-0.8,10.13,0.11,0.19,0.33,0.8
43,DPP-PLGA,1.0,46000.0,0.0,156.0,13.91,0.15,0.06,53.1,0.0,254.25,102.28,8.0,-2.21,15.99,0.0,0.02,0.05,0.99
106,TMZ-PLGA,3.0,20000.0,0.0,212.0,10.46,0.05,0.04,97.56,0.0,194.15,108.17,8.0,-2.08,13.98,0.04,0.05,0.06,0.33
117,LPA-PLGA,1.0,25000.0,0.0,152.5,9.49,0.25,0.23,217.39,0.01,1269.47,466.34,30.0,-1.14,0.27,0.09,0.11,0.15,0.12
79,IBP-PLGA,1.0,46000.0,0.0,76.25,4.85,0.21,0.18,40.93,0.0,206.29,37.3,2.0,3.07,0.53,0.09,0.13,0.14,0.12
107,TMZ-PLGA,3.0,20000.0,0.0,212.0,10.46,0.1,0.08,95.85,0.0,194.15,108.17,8.0,-2.08,7.0,0.06,0.07,0.1,0.32
84,5-FU-PLGA,1.0,104000.0,0.0,282.5,8.02,0.8,0.18,210.53,0.0,130.08,65.72,5.0,-0.8,9.16,0.07,0.13,0.22,0.63
68,LDC-PLGA,1.0,48000.0,0.0,68.5,13.78,0.2,0.01,1621.62,0.0,234.34,32.34,3.0,2.58,4.48,0.02,0.03,0.05,0.1
101,PTX-PLGA,3.0,108000.0,0.0,216.5,10.36,0.02,0.02,6060.61,0.1,853.92,221.29,15.0,3.74,33.88,0.0,0.02,0.13,0.15
107,TMZ-PLGA,3.0,20000.0,0.0,212.0,10.46,0.1,0.08,95.85,0.0,194.15,108.17,8.0,-2.08,1.09,0.06,0.07,0.1,0.22
59,LDC-PLGA,1.0,12000.0,0.0,68.5,13.78,0.03,0.01,1333.33,0.0,234.34,32.34,3.0,2.58,4.39,0.24,0.33,0.49,0.71
6,GEF-PLGA,1.0,44000.0,0.0,213.0,16.11,0.1,0.08,46.15,1.0,446.91,68.74,9.0,4.28,8.46,0.01,0.01,0.02,0.08
46,PTX-PLGA,3.0,105000.0,0.0,216.5,10.36,0.02,0.01,22018.35,0.0,853.92,221.29,15.0,3.74,16.08,0.05,0.1,0.18,0.57
51,PTX-PLGA,1.0,57500.0,0.0,216.5,10.36,0.01,0.01,16255.76,0.0,853.92,221.29,15.0,3.74,5.52,0.06,0.1,0.17,0.28
80,5-FU-PLGA,1.0,104000.0,0.0,282.5,7.76,0.8,0.35,76.73,0.0,130.08,65.72,5.0,-0.8,10.14,0.09,0.19,0.35,0.9
